"steps"	"date"	"interval"
"1"	0	"2012-10-02"	0
"2"	0	"2012-10-02"	5
"3"	0	"2012-10-02"	10
"4"	0	"2012-10-02"	15
"5"	0	"2012-10-02"	20
"6"	0	"2012-10-02"	25
"7"	0	"2012-10-02"	30
"8"	0	"2012-10-02"	35
"9"	0	"2012-10-02"	40
"10"	0	"2012-10-02"	45
"11"	0	"2012-10-02"	50
"12"	0	"2012-10-02"	55
"13"	0	"2012-10-02"	100
"14"	0	"2012-10-02"	105
"15"	0	"2012-10-02"	110
"16"	0	"2012-10-02"	115
"17"	0	"2012-10-02"	120
"18"	0	"2012-10-02"	125
"19"	0	"2012-10-02"	130
"20"	0	"2012-10-02"	135
"21"	0	"2012-10-02"	140
"22"	0	"2012-10-02"	145
"23"	0	"2012-10-02"	150
"24"	0	"2012-10-02"	155
"25"	0	"2012-10-02"	200
"26"	0	"2012-10-02"	205
"27"	0	"2012-10-02"	210
"28"	0	"2012-10-02"	215
"29"	0	"2012-10-02"	220
"30"	0	"2012-10-02"	225
"31"	0	"2012-10-02"	230
"32"	0	"2012-10-02"	235
"33"	0	"2012-10-02"	240
"34"	0	"2012-10-02"	245
"35"	0	"2012-10-02"	250
"36"	0	"2012-10-02"	255
"37"	0	"2012-10-02"	300
"38"	0	"2012-10-02"	305
"39"	0	"2012-10-02"	310
"40"	0	"2012-10-02"	315
"41"	0	"2012-10-02"	320
"42"	0	"2012-10-02"	325
"43"	0	"2012-10-02"	330
"44"	0	"2012-10-02"	335
"45"	0	"2012-10-02"	340
"46"	0	"2012-10-02"	345
"47"	0	"2012-10-02"	350
"48"	0	"2012-10-02"	355
"49"	0	"2012-10-02"	400
"50"	0	"2012-10-02"	405
"51"	0	"2012-10-02"	410
"52"	0	"2012-10-02"	415
"53"	0	"2012-10-02"	420
"54"	0	"2012-10-02"	425
"55"	0	"2012-10-02"	430
"56"	0	"2012-10-02"	435
"57"	0	"2012-10-02"	440
"58"	0	"2012-10-02"	445
"59"	0	"2012-10-02"	450
"60"	0	"2012-10-02"	455
"61"	0	"2012-10-02"	500
"62"	0	"2012-10-02"	505
"63"	0	"2012-10-02"	510
"64"	0	"2012-10-02"	515
"65"	0	"2012-10-02"	520
